import time: self [us] | cumulative | imported package
import time:       325 |        325 | winreg
import time:       661 |        661 |   _io
import time:       113 |        113 |   marshal
import time:       612 |        612 |   nt
import time:      2036 |       3420 | _frozen_importlib_external
import time:      1673 |       1673 |   time
import time:       725 |       2397 | zipimport
import time:       235 |        235 |     _codecs
import time:      1842 |       2077 |   codecs
import time:      3134 |       3134 |   encodings.aliases
import time:      1296 |       1296 |   encodings._win_cp_codecs
import time:      4326 |      10832 | encodings
import time:      1386 |       1386 | encodings.utf_8
import time:      1650 |       1650 | encodings.cp1252
import time:       275 |        275 | _signal
import time:       139 |        139 |       _abc
import time:       760 |        898 |     abc
import time:       197 |        197 |       _stat
import time:       669 |        866 |     stat
import time:      2994 |       2994 |     _collections_abc
import time:       423 |        423 |       genericpath
import time:       335 |        335 |       _winapi
import time:       865 |       1622 |     ntpath
import time:      1741 |       8119 |   os
import time:       389 |        389 |   _sitebuiltins
import time:       187 |        187 |   errno
import time:      3262 |       3262 |   sitecustomize
import time:      7693 |      19646 | site
import time:      1917 |       1917 | linecache
import time:      1237 |       1237 |       __future__
import time:      1023 |       1023 |         io
import time:       249 |        249 |               _types
import time:      2949 |       3197 |             types
import time:      6514 |       9711 |           enum
import time:       264 |        264 |             _sre
import time:      2020 |       2020 |               re._constants
import time:      2238 |       4257 |             re._parser
import time:      1442 |       1442 |             re._casefix
import time:      3195 |       9157 |           re._compiler
import time:       831 |        831 |               itertools
import time:      1299 |       1299 |               keyword
import time:       285 |        285 |                 _operator
import time:      2195 |       2480 |               operator
import time:      1659 |       1659 |               reprlib
import time:       430 |        430 |               _collections
import time:      3620 |      10317 |             collections
import time:       184 |        184 |             _functools
import time:      2847 |      13347 |           functools
import time:      1069 |       1069 |           copyreg
import time:      4253 |      37535 |         re
import time:      2513 |       2513 |           textwrap
import time:        95 |         95 |               _contextvars
import time:      1446 |       1540 |             _py_warnings
import time:      1036 |       2576 |           warnings
import time:      1646 |       1646 |           codeop
import time:       970 |        970 |             token
import time:       106 |        106 |             _tokenize
import time:      2678 |       3754 |           tokenize
import time:      1095 |       1095 |                   _weakrefset
import time:      1389 |       2483 |                 weakref
import time:      1115 |       3598 |               copy
import time:       279 |        279 |                     _ast
import time:      1577 |       1855 |                   ast
import time:      2082 |       3936 |                 annotationlib
import time:       123 |        123 |                     _opcode
import time:      1155 |       1155 |                     _opcode_metadata
import time:      1424 |       2701 |                   opcode
import time:      3293 |       5994 |                 dis
import time:      1074 |       1074 |                   importlib
import time:       217 |       1291 |                 importlib.machinery
import time:      5106 |      16326 |               inspect
import time:      2077 |      22000 |             dataclasses
import time:     13355 |      35355 |           _colorize
import time:      2254 |       2254 |           contextlib
import time:      3169 |      51266 |         traceback
import time:       194 |        194 |           _string
import time:      1376 |       1569 |         string
import time:      1966 |       1966 |         threading
import time:       112 |        112 |         atexit
